id,age,gender,ethnicity,education,politics,c19vax_opinion,employment,politic_affil,vax_attitude,time_text,text,consp01,familiar_consp01,distr04,familiar_distr04,unwar03,familiar_unwar03,world02,familiar_world02,relig04,familiar_relig04,moral01,familiar_moral01,fears06,familiar_fears06,disto04,familiar_disto04,selfi05,familiar_selfi05,epist01,familiar_epist01,react04,familiar_react04,cmq01,cmq04,cmq05,yts_6,yts_7,yts_8,pseudo_1,pseudo_4,pseudo_6,populist_1,populist_2,populist_3,religion_2,religion_4,religion_5,MA1R,MA3,MA4R,GMA_5,GMA_6,GMA_8,risk_covid_1,risk_flu_1,risk_vax_covid_1,risk_vax_flu_1,self_1,self_5,self_6,ebs_pol_1,ebs_pol_2,ebs_pol_4,reactance_2,reactance_4,reactance_5,positive_comment,politic_affil_recode,spans,n_consp,n_distr,n_unwar,n_relig,n_moral,n_fears,n_disto,n_selfi,n_epist,n_react,n_world,n_spans,root_total,is_consp,is_distr,is_unwar,is_relig,is_moral,is_fears,is_disto,is_selfi,is_epist,is_react,is_world,lca_class
1,31,1,1,6,1,Against (I feel negatively about the vaccines),Full-Time,Democrat,3,262.493,"I understand that vaccination can be great and probably prevents many problems. I've heard it has worked well and eliminated diseases. However, I've also experienced side effects and heard from people that have had issues with things like the flu vaccine, and it's certainly frustrating to get sick after getting a vaccine.


More importantly, my negative rating came from the recent developments around covid. I am strongly negative and against requiring vaccines for work, education, and in order to enter into society, especially if such vaccines were rushed and not tested over a significantly longer period of time and with less harmful side effects. I was displeased to learn I had to get a vaccine to possibly get a job and then find out I got a better job and didn't need a vaccine. I'm angry that I may have to give a vaccine to my children down the road for covid, and I believe I shouldn't be forced to use something as scary and possibly offensive as an mrna vaccine. While I certainly understand the significance of these developments and advancements, I feel that agency and freedoms should not be restricted to possibly expose people to harm. Thus, I am at least slightly negative towards vaccines if not more strongly negative at least towards covid related ones.",5,0,6,0,3,0,4,0,3,0,4,0,3,0,4,0,4,0,3,0,7,0,7,7,8,3,3,3,1,1,1,5,4,5,5,3,1,2,3,2,3,5,3,24,8,57,5,6,2,3,1,1,3,2,3,2,0,Democrat,"[""I've also experienced side effects and heard from people that have had issues with things like the flu vaccine,"", ""it's certainly frustrating to get sick after getting a vaccine."", 'covid. I am strongly negative and against requiring vaccines for work, education, and in order to enter into society,', 'such vaccines were rushed and not tested over a significantly longer period of time and with less harmful side effects.', ""I was displeased to learn I had to get a vaccine to possibly get a job and then find out I got a better job and didn't need a vaccine."", ""I'm angry that I may have to give a vaccine to my children down the road for covid,"", ""I shouldn't be forced to use something as scary and possibly offensive as an mrna vaccine."", 'agency and freedoms should not be restricted to possibly expose people to harm.']",0,1,0,0,0,3,0,0,2,5,1,8,5,0,1,0,0,0,1,0,0,1,1,1,2
2,55,1,1,3,4,Against (I feel negatively about the vaccines),Full-Time,Democrat,2,1102.947,"First I would like to start by saying I am absolutely not an anti vax person. I believe there is a need for vaccines, many are effective and necessary and when properly tested over long periods of time they are also quite safe.

With this in mind, I am proud to say I am not a supporter of the covid vaccine. There are so many 'red flags' regarding this vaccine I would need a week to write about it and give all my opinions and examples. When Covid started spreading in China the media nor the Whites or CDC seemed too concerned. Immediately that caught my attention - if this is so contagious and deadly, why isn't anyone taking steps now to figure out how to reduce the spread once it comes to the United States? I joked to a family member that Americans must feel we are immune, we are so arrogant we think the virus is somehow going to pass us by despite Chinese travelers coming into our country daily? Why isn't anyone talking about this? We are super power people here in America!  Our President even joked about it calling it the 'Flu', or 'Kung flu'.. 

Suddenly this all changed and in 1-2 months? The CDC became active, the White house, and even the biotech companies who pledged to work on a vaccine at super speed with the FDA saying it would do something it never did before and fast track the drug because our lives depended on this. What changed our minds so quickly? Did we lose our super powers? What followed was what really upset me. We started project warp speed.. the Biotechs vowed NOT TO MAKE PROFITS from the vaccine (wow, so far they have earned 90 billion from this pandemic- what happened to no profits?), the CDC constantly gave out incorrect information. No, masks don't work.. 1 month later? Masks should be mandatory. A rushed vaccine, states scrambling to sent rules and boundaries while getting conflicting information from the CDC, and worse of all social media and respected scientist that showed ANY doubt were being censored and careers ruined and nobody seemed to say a word- we simply accepted it.

As I said at the start of my 'rant' I could write volumes about this but I will just end with some facts to explain why I didn't get the vaccine and I am proud of that choice. Masks don't work, Masks are mandatory now! We don't make profits! Wow we made 90 billion in profits! Once you get the vaccine you wont have to worry about getting it again said Fauci nor can you spread it to others, the White House (Biden) said people who don't get the vaccine are murderers. When he made that speech? The CDC and the Whitehouse already had data proving that the vaccine did NOT prevent you from spreading it so technically Biden lied calling non vaccinated people murderers? And he himself and the cdc were the murderers that kept the lie going for 1-2 months later that it was 'ok' to return to normal and that made the virus spread like mad! CONSTANTLY the narrative changed whether it was the masks? or even how the CDC and Whitehouse started saying they never said the vaccine would prevent the virus it was just meant to help keep you from dying. and last but not least, its basically a fact that we indeed helped fund the lab that created the virus but Faucci skirts around the issue - even in his departure speech the question was asks and the questioning was halted. Lie after lie after profits and more profits. And the vaccine does NOT work nor do the boosters but the lies continues.

Statistically speaking this virus was only a threat for elderly and sick people. Instead it was forced on millions of Americans and children- mind you the CDC statistics show that more children die in drowning incidents then from Covid.. lie after lie, censorship, coverups and billions and billions in profits. You ask why I didn't get this vaccine that doesn't even work? my response is wow- why on earth do I even need to write something like this? People have become sheep and I pity them.. Not getting this was the best decision I ever made.. Sadly my trust in science has been broken forever.. nuff said

",7,1,6,0,5,1,3,1,1,1,1,0,3,1,3,0,3,0,7,0,4,0,11,3,7,2,3,3,3,3,1,5,4,2,1,1,1,2,3,2,5,4,4,70,65,40,5,5,3,6,4,4,4,2,3,1,0,Democrat,"['we indeed helped fund the lab that created the virus but Faucci skirts around the issue - even in his departure speech the question was asks and the questioning was halted.', 'Lie after lie after profits and more profits.', 'the vaccine does NOT work nor do the boosters but the lies continues.', 'Statistically speaking this virus was only a threat for elderly and sick people.', 'People have become sheep and I pity them.', 'the CDC statistics show that more children die in drowning incidents then from Covid.', ""this vaccine that doesn't even work?"", 'CONSTANTLY the narrative changed whether it was the masks? or even how the CDC and Whitehouse started saying they never said the vaccine would prevent the virus it was just meant to help keep you from dying.', ""if this is so contagious and deadly, why isn't anyone taking steps now to figure out how to reduce the spread"", 'it was forced on millions of Americans and children-', ""he himself and the cdc were the murderers that kept the lie going for 1-2 months later that it was 'ok' to return to normal and that made the virus spread like mad!"", 'lie after lie, censorship, coverups and billions and billions in profits.', ""We don't make profits! Wow we made 90 billion in profits!"", ""There are so many 'red flags' regarding this vaccine"", ""Once you get the vaccine you wont have to worry about getting it again said Fauci nor can you spread it to others, the White House (Biden) said people who don't get the vaccine are murderers. When he made that speech? The CDC and the Whitehouse already had data proving that the vaccine did NOT prevent you from spreading it so technically Biden lied calling non vaccinated people murderers?"", 'When Covid started spreading in China the media nor the Whites or CDC seemed too concerned.', 'Suddenly this all changed and in 1-2 months?', 'The CDC became active, the White house, and even the biotech companies who pledged to work on a vaccine at super speed with the FDA saying it would do something it never did before and fast track the drug because our lives depended on this.', 'my trust in science has been broken forever.', ""the CDC constantly gave out incorrect information. No, masks don't work.. 1 month later? Masks should be mandatory."", 'A rushed vaccine, states scrambling to sent rules and boundaries while getting conflicting information from the CDC,', 'the Biotechs vowed NOT TO MAKE PROFITS from the vaccine (wow, so far they have earned 90 billion from this pandemic- what happened to no profits?', ""Masks don't work, Masks are mandatory now!"", 'social media and respected scientist that showed ANY doubt were being censored and careers ruined and nobody seemed to say a word- we simply accepted it.']",3,16,0,0,2,0,3,0,0,3,0,24,5,1,1,0,0,1,0,1,0,0,1,0,2
3,39,1,1,5,11,Against (I feel negatively about the vaccines),NA,Republican,1,269.69,"Vaccination (non-COVID) kills infants at a higher rate than non-vaccination. Vaccines are necessarily filled with toxic chemicals that stay in the person that they are injected into. They cause physical and mental problems that don't go away. Both COVID and non-COVID vaccines are meant to make money, not provide health.",7,1,6,0,7,1,7,0,7,0,7,0,7,1,7,1,6,0,6,0,7,0,11,11,11,4,4,4,1,2,2,3,3,5,5,3,3,2,3,2,3,2,3,8,11,100,82,7,6,7,4,3,4,4,4,5,0,Republican,"['Vaccination (non-COVID) kills infants at a higher rate than non-vaccination.', 'Vaccines are necessarily filled with toxic chemicals that stay in the person that they are injected into.', ""They cause physical and mental problems that don't go away."", 'Both COVID and non-COVID vaccines are meant to make money, not provide health.']",0,1,1,0,0,2,1,0,0,0,0,4,4,0,1,1,0,0,1,1,0,0,0,0,1
4,47,2,1,2,8,Against (I feel negatively about the vaccines),Part-Time,Republican,1,372.642,"The big reason I'm against vaccination is people are still getting Covid and ending up in hospital. Some have died that are vaccinated that were healthy with no other conditions. On top of the ones that died from a side effect from being vaccinated. In no way is there enough research done on them. I am high risk since I have Multiple Sclerosis and I have contracted covid twice. Thankfully no need to be in the hospital. I do get vaccinated for flu and it helped me to where I only had symptoms for a day. My daughter had Flu and I knew the rest of us would get it, but that vaccine helped. If more trials on the vaccines are done and I feel better with the results, I may in the future get it, but for now I decline.",5,0,7,0,5,0,5,0,1,0,1,0,4,0,4,0,4,0,4,0,5,0,9,6,6,1,2,1,1,1,1,5,5,4,5,5,3,4,1,3,5,4,4,100,100,100,10,7,1,6,4,4,5,4,5,1,0,Republican,"['In no way is there enough research done on them.', 'If more trials on the vaccines are done and I feel better with the results, I may in the future get it,', 'Some have died that are vaccinated that were healthy with no other conditions.', 'the ones that died from a side effect from being vaccinated.', 'people are still getting Covid and ending up in hospital.', 'I am high risk since I have Multiple Sclerosis and I have contracted covid twice. Thankfully no need to be in the hospital.']",0,3,0,0,0,2,1,0,0,0,0,6,3,0,1,0,0,0,1,1,0,0,0,0,3
5,52,2,1,5,8,Against (I feel negatively about the vaccines),Full-Time,Independent,3,608.223,"I had to choose slightly negative because I'm not sure which vaccination you're asking about.  I was never an ""anti-vaxxer"" or anti-vaccine, until COVID.  Then big pharma and the government applied incredible pressure to take a very ineffective vaccine.  Suddenly, I'm an ""anti-vaxxer"".  What happened to people like me who simply questioned the effectiveness and the testing and the speed in which this ""vaccine"" was brought to the public, is pretty despicable.  The government agencies that I expected to watch out for our best interests instead changed the definitions of words like vaccine, immunity and herd immunity.  Educational institutions which are supposed to be filled with the most inquisitive minds suddenly lost all curiosity and fell in step with big pharma and the government.  Any studies or differing viewpoints were quickly squashed.  The reaction of agencies and institutions we were supposed to be able to trust and look to for guidance and for ""science"" made it clear that all they offered was big government and big pharma propaganda.   ""brought to you by Pfizer""

Now, I am beginning to question other vaccines, other healthcare standards.  If the government and the CDC and the research institutions, lie about COVID, what else are they lying about?  I am not sure these institutions will ever regain my trust.",6,1,4,0,3,1,5,1,2,1,2,0,4,1,4,1,2,0,3,0,6,1,7,3,4,1,1,1,2,2,1,5,4,1,5,4,3,3,1,3,4,2,1,10,10,80,45,2,2,3,4,4,2,1,4,4,0,Other,"['I am not sure these institutions will ever regain my trust.', 'If the government and the CDC and the research institutions, lie about COVID, what else are they lying about?', 'Educational institutions which are supposed to be filled with the most inquisitive minds suddenly lost all curiosity and fell in step with big pharma and the government.', 'Any studies or differing viewpoints were quickly squashed.', 'The government agencies that I expected to watch out for our best interests instead changed the definitions of words like vaccine, immunity and herd immunity.', 'What happened to people like me who simply questioned the effectiveness and the testing and the speed in which this ""vaccine"" was brought to the public, is pretty despicable.', 'Suddenly, I\'m an ""anti-vaxxer"".', 'The reaction of agencies and institutions we were supposed to be able to trust and look to for guidance and for ""science"" made it clear that all they offered was big government and big pharma propaganda.   ""brought to you by Pfizer""', 'COVID.  Then big pharma and the government applied incredible pressure to take a very ineffective vaccine.']",1,8,0,0,0,0,0,0,0,3,0,9,3,1,1,0,0,0,0,0,0,0,1,0,2
6,43,1,1,2,5,Against (I feel negatively about the vaccines),Full-Time,Independent,4,903.486,"I do recognize and appreciate that vaccinations can be good, but also I recognize that pharma and biotech companies sell them. So I can go either way on a case by case basis.",7,1,6,1,4,1,6,0,4,1,3,0,4,1,4,1,7,0,2,0,4,1,8,5,9,1,2,2,1,3,1,5,5,3,5,2,2,2,3,2,2,1,1,7,5,3,2,3,5,5,2,1,2,2,3,4,0,Other,['pharma and biotech companies sell them.'],0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3
7,35,1,2,5,5,Against (I feel negatively about the vaccines),Full-Time,Independent,2,93.502,I don't like how it was rushed to the market and the shady behavior behind the pharmaceutical companies who produce it. I don't understand why I have to take multiple shots for immunity and I don't like the side affects associated with it.,6,1,5,0,5,1,4,0,4,0,4,0,4,1,5,1,4,0,4,0,5,0,8,7,9,4,3,4,4,4,2,4,2,2,2,1,2,3,2,3,4,2,2,15,50,81,71,7,7,6,4,4,4,3,4,3,0,Other,"[""I don't like how it was rushed to the market"", 'the shady behavior behind the pharmaceutical companies who produce it.', ""I don't understand why I have to take multiple shots for immunity"", ""I don't like the side affects associated with it.""]",0,2,0,0,0,1,0,0,1,0,0,4,3,0,1,0,0,0,1,0,0,1,0,0,3
8,45,1,1,5,6,Against (I feel negatively about the vaccines),Full-Time,Independent,2,126.772,I think that it has not been tested enough to be pushed on the public. Now that it has been shown to be not effective and actually harmful to the heart it should be banned from being mandatory in areas of work and public. It ahould be up to the individual not the government or corporation.,6,1,6,1,3,1,7,1,1,1,5,0,6,1,6,1,6,1,2,1,7,1,10,7,7,4,5,4,4,4,4,4,4,3,4,3,2,3,2,3,3,2,3,30,24,77,68,5,3,5,2,2,2,2,2,3,0,Other,"['it should be banned from being mandatory in areas of work and public.', 'It ahould be up to the individual not the government or corporation.', 'it has been shown to be not effective and actually harmful to the heart', 'it has not been tested enough to be pushed on the public.']",0,2,0,0,0,1,0,0,0,3,0,4,3,0,1,0,0,0,1,0,0,0,1,0,2
9,42,2,1,6,5,Against (I feel negatively about the vaccines),Full-Time,Independent,4,97.207,I generally feel good about vaccinations. I have all of mine and so do my kids. It wasn't until the covid vaccination that makes me feel skeptical.  The covid vaccine does not stop people from getting or spreading covid. And if you disagree with anyone about the vaccine then all of a sudden you are uneducated. It's a very divisive vaccine and has made me feel very negatively about it. I am very unsure of what is in that vaccine and what long term effects I will receive from it.,5,1,6,0,4,1,3,0,1,0,2,0,3,1,5,1,2,0,4,1,7,1,11,9,10,3,3,4,3,4,2,5,4,2,4,1,1,4,1,3,4,2,4,76,59,94,63,6,5,5,4,5,4,2,1,2,0,Other,"['I am very unsure of what is in that vaccine and what long term effects I will receive from it.', 'The covid vaccine does not stop people from getting or spreading covid.', 'if you disagree with anyone about the vaccine then all of a sudden you are uneducated.']",0,1,0,0,0,1,0,0,1,1,0,3,4,0,1,0,0,0,1,0,0,1,1,0,2
11,45,2,1,4,8,Against (I feel negatively about the vaccines),Full-Time,Republican,5,310.296,"I am all for vaccination for diseases like measles, mumps, polio, and small pox.  Diseases that have been shown to be eradicated or just about eradicated by vaccination.  But vaccination for flu and flu-type things ie, Corona virus's is not something I support getting vaccinations for.  For these types of virus's, you keep having to get boosters because they are constantly changing.  And to be honest they do not kill the mostly healthy population so to me it is a waste to subject my body to a vaccine that really isn't as tested as the childhood vaccines that are proven to be effective and have taken out diseases.",2,1,6,0,6,1,2,0,1,0,1,0,3,1,6,0,6,0,4,0,3,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,4,3,2,3,2,1,1,8,18,63,31,1,1,1,1,1,1,1,1,1,0,Republican,"[""they do not kill the mostly healthy population so to me it is a waste to subject my body to a vaccine that really isn't as tested as the childhood vaccines that are proven to be effective and have taken out diseases."", ""vaccination for flu and flu-type things ie, Corona virus's is not something I support getting vaccinations for.  For these types of virus's, you keep having to get boosters because they are constantly changing.""]",0,1,0,0,0,0,1,0,1,0,0,2,3,0,1,0,0,0,0,1,0,1,0,0,3
