answer;count;
"comunismo";"6";
"lula";"5";
"socialismo";"4";
"revolução";"4";
"esquerda";"4";
"esquerdista";"3";
"marx";"3";
"aborto";"2";
"sindicato";"2";
"vermelha";"2";
"bolsa família";"2";
"marxismo";"2";
"meios de produção";"2";
"pt";"2";
"marginal";"1";
"mpb";"1";
"pcdob";"1";
"resistência";"1";
"protesto";"1";
"comunista";"1";
"canhoto";"1";
"facção";"1";
"ditadura";"1";
"mito";"1";
"bandido";"1";
"propriedade publica";"1";
"bolsonaro";"1";
"9";"1";
"nine";"1";
"nove dedos";"1";
"martelo e foice";"1";
"karl marx";"1";
"l";"1";
"minoria";"1";
"economia";"1";
"burguesia";"1";
"doutrinação";"1";
"partido dos trabalha";"1";
"imposto";"1";
"marxista";"1";
"mais valia";"1";
"pcb";"1";
"stf";"1";
"paulo freire";"1";
"petista";"1";
"poder popular";"1";
"vermelho";"1";
"união soviética";"1";
"mais-valia";"1";
"lgbt";"1";
"corrupto";"1";
"13";"1";
"ladrão";"1";
"militante";"1";
"classe trabalhadora";"1";
"brasil";"1";
"ideologia";"1";
"socialista";"1";
"comuna";"1";
